product_variant_sku,ending_quantity
CVL-LLT-13-BLK,3
M80-WAR-GRY,1
PFX-PBC-S-SLV-BDL,42
M80-TOUR-V2-BLK,0
CVL-LLT-15-BLK,3
M80-EG-BLK,3
M80-AP-BLK,3
TEAR-AID,35
CVL-LLT-17-BLK,3
M80-SAD-BLK,3
PFX-PB-M-BLK,0
EFX-FLY-BLK,2
M80-TK1-BLK,0
M80-EB-BLK,0
M80-CY22-ASH,2
M80-VAD-BLK,3
CVL-LPD-WHT,3
M80-VEG-CAM,5
PFX-PB-M-BLK-BDL,0
M80-AD-BLK,3
M80-VEG-BLK,2
M80-CY24-BLK,2
PFX-PBC-M-SLV-BDL,21
M80-2G-BLK,3
ZP2-L-BLK,4
PFX-PB-LT-SLV,3
M80-DLT-WHT,3
M80-STEB-BLK,10
PFX-PB-ACC-KIT,0
M80-BTY-BLK-S,1
M80-CY24-ASH,1
PFX-PB-S-SLV-BDL,0
M80-BTY-ASH-L,3
M80-PB2-BLK,0
M80-PB3-BLK,42
PFX-SMS-SLV,3
M80-SN-BLK,3
M80-VHB-BLK,3
M80-VUT-BLK,3
PFX-PB-LP-BLK,0
PFX-PB-RP-BLK,-1
CVL-LLT-13-ASH,3
M80-VEB-GRY,2
CVL-DCW-BLK,-1
PFX-PB-S-SLV,0
PFX-PB-RP-SLV,3
CVL-LLT-15-ASH,3
M80-TICK-V2-GRY,3
TEX-BLK,36
M80-AC-BLK,3
M80-SEG-ASH,0
M80-SAD-ASH,3
PFX-PB-M-SLV-BDL,0
EFX-PDR-BLK,0
PFX-PB-L-SLV-BDL,3
M80-VEG-GRY,3
CVL-LLT-15-WHT,3
M80-SEB-ASH,3
M80-SEG-BLK,0
M80-STEG-BLK,10
M80-STRM-BLK,3
PFX-PB-LP-SLV,3
M80-DP-BLK,3
CVL-LPD-BLK,3
M80-STAB-BLK,3
ZP1-L-BLK,4
M80-K61-BLK,0
M80-DLT-GRY,3
M80-JA-BLK,3
PFX-SMS-BLK,3
M80-SEB-BLK,3
M80-2A-BLK,2
M80-VUC-BLK,3
CVL-LLT-17-WHT,3
M80-UC-BLK,3
M80-CY22-BLK,3
PFX-PB-L-BLK-BDL,0
M80-TK1-GRY,0
M80-DLT-BLK,3
PFX-PB-L-SLV,0
WCS-M-BLK,90
M80-TT-BLK,11
M80-UT-BLK,3
CVL-PPW-BLK,0
M80-DLT-BRN,0
ZP1-S-BLK,10
EFX-KLR-BLK,0
M80-ST-BLK,0
M80-BTY-BLK-L,1
M80-ST-ASH,3
CVL-PPW-WHT,3
PFX-PB-M-SLV,0
EFX-FAD-GRY,0
WCS-L-BLK,30
PFX-PB-S-BLK,0
M80-VEB-BLK,3
PFX-PBC-L-SLV-BDL,6
PFX-PB-LT-BLK,0
WCS-S-BLK,3
M80-BTY-ASH-S,3
M80-PB1-BLK,0
M80-PRO-V2-BLK,3
PFX-PB-S-BLK-BDL,0
M80-WAR-BLK,3
M80-2B-BLK,3
CVL-LPD-ASH,3
M80-SS-BLK,3
M80-FLY-ULT-BLK,5
PFX-PB-R-SLV,4
CVL-LLT-13-WHT,3
PFX-PB-L-BLK,0
M80-CLUB-V2-BLK,3
CVL-XPK-BLK,0
SRB-S-BLK,170
CVL-DCW-ASH,0
M80-TICK-V2-BLK,3
PFX-PB-R-BLK,3
EFX-FAD-BLK,0
