product_variant_sku,ending_quantity
M80-SEB-ASH,3
M80-DLT-BLK,3
M80-VHB-BLK,3
PFX-PB-RP-SLV,3
M80-PB2-BLK,0
PFX-PB-S-SLV,0
PFX-PB-R-SLV,3
M80-2G-BLK,3
TEX-BLK,36
CVL-LPD-WHT,3
M80-PRO-V2-BLK,3
WCS-L-BLK,30
M80-TT-BLK,11
PFX-PB-M-SLV,3
EFX-FAD-GRY,0
M80-EB-BLK,3
M80-DLT-WHT,3
PFX-PB-S-BLK,0
PFX-PB-LT-BLK,3
M80-WAR-BLK,3
M80-VEG-GRY,3
WCS-M-BLK,90
EFX-FLY-BLK,3
WCS-S-BLK,3
M80-EG-BLK,3
PFX-PB-LT-SLV,3
M80-SEG-BLK,3
ZP1-S-BLK,10
PFX-PB-M-BLK,0
EFX-FAD-BLK,0
PFX-PB-L-BLK,0
M80-CY22-BLK,3
M80-BTY-ASH-S,3
M80-STEB-BLK,10
CVL-XPK-BLK,0
EFX-KLR-BLK,0
CVL-PPW-BLK,3
M80-CLUB-V2-BLK,3
M80-VEB-BLK,3
ZP1-L-BLK,4
M80-SEB-BLK,3
M80-SN-BLK,2
M80-TK1-BLK,0
M80-SAD-BLK,3
ZP2-L-BLK,4
PFX-PB-L-SLV,3
M80-SEG-ASH,3
M80-BTY-BLK-S,3
CVL-LPD-ASH,3
M80-DP-BLK,3
M80-PB3-BLK,3
M80-AD-BLK,3
M80-BTY-ASH-L,3
M80-UT-BLK,3
M80-SAD-ASH,3
M80-WAR-GRY,3
M80-BTY-BLK-L,3
M80-VAD-BLK,3
CVL-LPD-BLK,3
M80-VUC-BLK,3
EFX-PDR-BLK,0
M80-VEG-BLK,3
TEAR-AID,33
M80-VUT-BLK,3
CVL-LLT-15-BLK,3
PFX-PB-LP-BLK,3
PFX-PB-R-BLK,3
M80-PB1-BLK,0
M80-TOUR-V2-BLK,1
CVL-DCW-BLK,2
M80-AP-BLK,3
M80-AC-BLK,3
M80-DLT-GRY,3
M80-K61-BLK,2
M80-TICK-V2-GRY,3
M80-2A-BLK,3
SRB-S-BLK,170
CVL-LLT-17-BLK,3
PFX-PB-RP-BLK,3
PFX-PB-ACC-KIT,3
M80-K49-BLK,0
CVL-LLT-15-WHT,3
PFX-PB-LP-SLV,3
CVL-DCW-ASH,0
M80-CY24-BLK,3
M80-SS-BLK,3
M80-VEB-GRY,2
CVL-LLT-15-ASH,3
M80-UC-BLK,1
M80-CY22-ASH,3
M80-CY24-ASH,3
CVL-PPW-WHT,3
M80-DLT-BRN,3
M80-TK1-GRY,3
M80-STEG-BLK,2
CVL-LLT-13-BLK,3
M80-TICK-V2-BLK,3
CVL-LLT-13-ASH,3
CVL-LLT-13-WHT,3
M80-2B-BLK,3
M80-ST-BLK,3
M80-ST-ASH,3
